Crop,Pest,Pesticide,Application Method,Dosage
Barley,Stem Borer,Chlorpyrifos,Spray,1.0 g/L
Barley,Potato Beetle,Chlorpyrifos,Soil Application,3.0 g/L
Barley,Soybean Looper,Imidacloprid,Spray,1.0 ml/L
Barley,Potato Beetle,Pyrethrin,Spray,3.0 g/L
Barley,Armyworm,Pyrethrin,Soil Drench,0.3 ml/L
Barley,Potato Beetle,Cartap Hydrochloride,Soil Application,1.0 g/L
Barley,Whitefly,Azadirachtin (Neem Oil),Soil Application,2.0 ml/L
Barley,Peanut Bud Necrosis Virus,Spinosad,Soil Drench,2.0 ml/L
Barley,Peanut Bud Necrosis Virus,Lambda-cyhalothrin,Soil Application,0.8 ml/L
Barley,Barley Yellow Dwarf Virus,Fipronil,Soil Drench,2.0 ml/L
Barley,Whitefly,Azadirachtin (Neem Oil),Soil Application,2.0 ml/L
Barley,Potato Beetle,Fipronil,Soil Drench,1.0 g/L
Barley,Barley Yellow Dwarf Virus,Azadirachtin (Neem Oil),Spray,0.3 ml/L
Barley,Whitefly,Chlorpyrifos,Spray,0.8 ml/L
Barley,Potato Beetle,Pyrethrin,Soil Drench,1.5 ml/L
Barley,Armyworm,Cartap Hydrochloride,Soil Application,0.8 ml/L
Barley,Armyworm,Lambda-cyhalothrin,Soil Application,0.3 ml/L
Barley,Stem Borer,Chlorpyrifos,Soil Application,1.5 ml/L
Barley,Stem Borer,Lambda-cyhalothrin,Spray,2.0 ml/L
Barley,Potato Beetle,Cartap Hydrochloride,Soil Application,1.0 g/L
Barley,Peanut Bud Necrosis Virus,Spinosad,Spray,3.0 g/L
Barley,Peanut Bud Necrosis Virus,Pyrethrin,Soil Drench,1.0 ml/L
Barley,Stem Borer,Lambda-cyhalothrin,Soil Application,1.0 ml/L
Barley,Stem Borer,Imidacloprid,Soil Application,2.5 ml/L
Barley,Peanut Bud Necrosis Virus,Spinosad,Spray,3.0 g/L
Barley,Potato Beetle,Cartap Hydrochloride,Soil Drench,1.0 g/L
Barley,Stem Borer,Imidacloprid,Soil Application,0.8 ml/L
Barley,Stem Borer,Imidacloprid,Soil Application,0.8 ml/L
Barley,Whitefly,Chlorpyrifos,Spray,0.8 ml/L
Barley,Potato Beetle,Cartap Hydrochloride,Soil Application,1.0 g/L
Barley,Peanut Bud Necrosis Virus,Pyrethrin,Soil Application,0.3 ml/L
Barley,Peanut Bud Necrosis Virus,Spinosad,Spray,2.0 ml/L
Barley,Peanut Bud Necrosis Virus,Cartap Hydrochloride,Spray,2.5 ml/L
Barley,Bollworm,Pyrethrin,Soil Application,1.5 g/L
Barley,Potato Beetle,Fipronil,Soil Drench,1.0 g/L
Barley,Potato Beetle,Pyrethrin,Soil Drench,1.5 ml/L
Barley,Bollworm,Imidacloprid,Soil Drench,2.5 ml/L
Barley,Stem Borer,Imidacloprid,Spray,1.0 ml/L
Barley,Potato Beetle,Thiamethoxam,Spray,1.0 g/L
Barley,Barley Yellow Dwarf Virus,Imidacloprid,Soil Drench,1.5 ml/L
Barley,Stem Borer,Thiamethoxam,Soil Drench,2.0 ml/L
Barley,Soybean Looper,Lambda-cyhalothrin,Spray,2.0 ml/L
Barley,Stem Borer,Imidacloprid,Soil Application,0.8 ml/L
Barley,Bollworm,Pyrethrin,Soil Application,1.5 g/L
Barley,Armyworm,Imidacloprid,Soil Drench,2.0 ml/L
Barley,Barley Yellow Dwarf Virus,Chlorpyrifos,Soil Drench,3.0 g/L
Barley,Soybean Looper,Lambda-cyhalothrin,Soil Application,1.0 ml/L
Barley,Potato Beetle,Pyrethrin,Spray,3.0 g/L
Barley,Armyworm,Pyrethrin,Soil Drench,0.3 ml/L
Barley,Barley Yellow Dwarf Virus,Fipronil,Soil Drench,2.0 ml/L
Barley,Stem Borer,Imidacloprid,Soil Application,0.8 ml/L
Barley,Peanut Bud Necrosis Virus,Cartap Hydrochloride,Spray,1.0 ml/L
Barley,Stem Borer,Azadirachtin (Neem Oil),Soil Application,1.5 g/L
Barley,Armyworm,Pyrethrin,Soil Drench,0.3 ml/L
Barley,Armyworm,Imidacloprid,Soil Application,2.5 ml/L
Barley,Stem Borer,Lambda-cyhalothrin,Spray,2.0 ml/L
Barley,Barley Yellow Dwarf Virus,Pyrethrin,Soil Application,2.0 ml/L
Barley,Barley Yellow Dwarf Virus,Azadirachtin (Neem Oil),Spray,0.3 ml/L
Barley,Sugarcane Borer,Spinosad,Soil Application,1.5 g/L
Barley,Barley Yellow Dwarf Virus,Pyrethrin,Soil Application,2.0 ml/L
Barley,Stem Borer,Thiamethoxam,Soil Application,2.5 ml/L
Barley,Bollworm,Bacillus thuringiensis,Soil Application,2.5 ml/L
Barley,Barley Yellow Dwarf Virus,Azadirachtin (Neem Oil),Soil Application,2.0 ml/L
Barley,Soybean Looper,Cartap Hydrochloride,Spray,2.5 ml/L
Barley,Barley Yellow Dwarf Virus,Fipronil,Soil Drench,2.0 ml/L
Barley,Soybean Looper,Thiamethoxam,Soil Drench,1.5 ml/L
Barley,Soybean Looper,Thiamethoxam,Soil Drench,1.5 ml/L
Barley,Whitefly,Spinosad,Soil Application,1.0 g/L
Barley,Potato Beetle,Bacillus thuringiensis,Soil Drench,0.3 ml/L
Barley,Stem Borer,Bacillus thuringiensis,Spray,1.5 ml/L
Barley,Potato Beetle,Thiamethoxam,Spray,1.0 g/L
Barley,Stem Borer,Chlorpyrifos,Soil Application,1.5 ml/L
Barley,Peanut Bud Necrosis Virus,Spinosad,Soil Drench,2.0 ml/L
Barley,Sugarcane Borer,Lambda-cyhalothrin,Soil Drench,3.0 g/L
Barley,Stem Borer,Chlorpyrifos,Soil Drench,2.0 ml/L
Barley,Peanut Bud Necrosis Virus,Spinosad,Spray,2.0 ml/L
Barley,Soybean Looper,Imidacloprid,Spray,3.0 g/L
Barley,Peanut Bud Necrosis Virus,Spinosad,Soil Drench,2.0 ml/L
Barley,Bollworm,Fipronil,Spray,2.0 ml/L
Barley,Potato Beetle,Pyrethrin,Spray,3.0 g/L
Barley,Whitefly,Chlorpyrifos,Spray,0.8 ml/L
Barley,Potato Beetle,Lambda-cyhalothrin,Soil Drench,1.0 ml/L
Barley,Barley Yellow Dwarf Virus,Spinosad,Spray,2.0 ml/L
Barley,Soybean Looper,Imidacloprid,Spray,3.0 g/L
Barley,Barley Yellow Dwarf Virus,Azadirachtin (Neem Oil),Spray,0.3 ml/L
Barley,Stem Borer,Azadirachtin (Neem Oil),Soil Drench,0.3 ml/L
Barley,Peanut Bud Necrosis Virus,Thiamethoxam,Soil Drench,2.0 ml/L
Barley,Bollworm,Bacillus thuringiensis,Soil Application,2.5 ml/L
Barley,Soybean Looper,Thiamethoxam,Soil Application,1.5 g/L
Barley,Stem Borer,Azadirachtin (Neem Oil),Soil Application,1.5 g/L
Barley,Stem Borer,Thiamethoxam,Soil Drench,2.0 ml/L
Barley,Bollworm,Imidacloprid,Soil Drench,1.5 g/L
Barley,Stem Borer,Thiamethoxam,Soil Drench,0.8 ml/L
Barley,Peanut Bud Necrosis Virus,Pyrethrin,Soil Drench,1.0 ml/L
Barley,Soybean Looper,Thiamethoxam,Soil Drench,1.5 ml/L
