Crop,N,P,K,pH,soil_moisture,Recommended Fertilizers,Fertilizer Dosage (kg/ha)
rice,80,40,40,5.5,30,"Urea, DAP, Muriate of Potash (MOP)",70.4
maize,80,40,20,5.5,50,"Urea, DAP, Single Super Phosphate",51.33
chickpea,40,60,80,5.5,60,"Ammonium Sulfate, DAP, MOP",66.0
kidneybeans,20,60,20,5.5,45,"Urea, Rock Phosphate, Potash",36.67
pigeonpeas,20,60,20,5.5,45,"Urea, Rock Phosphate, Potash",36.67
mothbeans,20,40,20,5.5,30,"Urea, DAP, MOP",35.2
mungbean,20,40,20,5.5,80,"Urea, DAP, MOP",29.33
blackgram,40,60,20,5.0,60,"Urea, Rock Phosphate, Potash",44.0
lentil,20,60,20,5.5,90,"Urea, Rock Phosphate, MOP",36.67
pomegranate,20,10,40,5.5,30,"Ammonium Sulfate, MOP",30.8
banana,100,75,50,6.5,40,"Urea, DAP, Potash",90.0
mango,20,20,30,5.0,15,"Ammonium Sulfate, Potash",30.8
grapes,20,125,200,4.0,60,"Rock Phosphate, MOP",126.5
watermelon,100,10,50,5.5,70,"Urea, DAP, Potash",58.67
muskmelon,100,10,50,5.5,30,"Urea, DAP, Potash",70.4
apple,20,125,200,6.5,50,"Rock Phosphate, MOP",115.0
orange,20,10,10,4.0,60,"Ammonium Sulfate, Rock Phosphate",14.67
papaya,50,50,50,6.0,20,"Urea, DAP, Potash",60.0
coconut,20,10,30,5.0,45,"Ammonium Sulfate, Potash",22.0
cotton,120,40,20,5.5,70,"Urea, DAP, Potash",66.0
jute,80,40,40,5.5,20,"Urea, DAP, MOP",70.4
coffee,100,20,30,5.5,20,"Urea, DAP, Potash",66.0
wheat,41,0,0,6.0,50,Urea,13.67
apple,24,125,203,6.416491656,54,"Rock Phosphate, MOP",117.33
wheat,37,0,1,6.043998663,52,Urea,12.67
rice,78,42,41,5.508333704,32,"Urea, DAP, Muriate of Potash (MOP)",70.84
maize,75,39,24,5.443386291,53,"Urea, DAP, Single Super Phosphate",50.6
kidneybeans,17,55,19,5.524510879,46,"Urea, Rock Phosphate, Potash",33.37
wheat,44,0,0,5.982613828,48,Urea,16.13
muskmelon,95,14,48,5.398750425,31,"Urea, DAP, Potash",69.08
lentil,20,61,18,5.332341331,92,"Urea, Rock Phosphate, MOP",36.3
grapes,17,123,201,3.869746572,55,"Rock Phosphate, MOP",125.03
